Main Sector,Source,Source Category,Units,FY 2006 Consumed,FY 2006 tCO2e,FY 2006 Source MMBtu,FY 2007 Consumed,FY 2007 tCO2e,FY 2007 Source MMBtu,FY 2008 Consumed,FY 2008 tCO2e,FY 2008 Source MMBtu,FY 2009 Consumed,FY 2009 tCO2e,FY 2009 Source MMBtu,FY 2010 Consumed,FY 2010 tCO2e,FY 2010 Source MMBtu,FY 2011 Consumed,FY 2011 tCO2e,FY 2011 Source MMBtu,FY 2012 Consumed,FY 2012 tCO2e,FY 2012 Source MMBtu,FY 2013 Consumed,FY 2013 tCO2e,FY 2013 Source MMBtu,FY 2014 Consumed,FY 2014 tCO2e,FY 2014 Source MMBtu,FY 2015 Consumed,FY 2015 tCO2e,FY 2015 Source MMBtu,FY 2016 Consumed,FY 2016 tCO2e,FY 2016 Source MMBtu,FY 2017 Consumed,FY 2017 tCO2e,FY 2017 Source MMBtu,FY 2018 Consumed,FY 2018 tCO2e,FY 2018 Source MMBtu,FY 2019 Consumed,FY 2019 tCO2e,FY 2019 Source MMBtu,FY 2020 Consumed,FY 2020 tCO2e,FY 2020 Source MMBtu,FY 2021 Consumed,FY 2021 tCO2e,FY 2021 Source MMBtu,FY 2022 Consumed,FY 2022 tCO2e,FY 2022 Source MMBtu,FY 2023 Consumed,FY 2023 tCO2e,FY 2023 Source MMBtu,2006 - 2023 % change Consumed,2006 - 2023 % change tCO2e,2006 - 2023 % change Source MMBtu
#1 fuel oil,Other,Wastewater Treatment,liter,,,,,,,,,,,,,,,,,,,3225.17,8.68,119.28,456038.05,1227.79,16866.78,11363.81,30.59,420.3,987.99,2.66,36.54,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
#2 fuel oil,#2 fuel oil,Wastewater Treatment,liter,18314094.48,49662.94,675842.9,5370643.26,14563.75,198192.22,21342520.35,57875.22,787600.55,2284118.18,6193.92,84290.55,4810767.52,13045.52,177531.19,5038764.29,13663.78,185944.93,8350746.67,22645,308166.63,13805520.67,37436.89,509463.52,12456175.66,33777.83,459668.8,12732785.93,34527.92,469876.52,8796616.11,23854.08,324620.5,7550931.13,20476.11,278651.13,7054983.9,19131.23,260349.25,7595618.34,20597.29,280300.22,6666410.22,18077.53,246009.76,5987455.24,16236.38,220954.36,4636929.26,12574.12,171116.06,1564527.97,4242.58,57735.59,-91.46,-91.46,-91.46
#4 fuel oil,#4 fuel oil,Wastewater Treatment,liter,1129822.56,3283.67,44033.55,645874.6,1877.15,25172.23,397221.85,1154.47,15481.27,198900.37,578.08,7751.92,316167.02,918.9,12322.25,296592.02,862,11559.34,372686.11,1083.16,14525.02,93.5,0.27,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-100,-100
#6 fuel oil,#6 fuel oil,Wastewater Treatment,liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Biodiesel,Biodiesel,Wastewater Treatment,liter,,,,,,,,,,,,,716.75,0.01,24.47,100,,3.41,459128.04,5.22,15676.42,726611.27,8.26,24809.34,,,,,,,,,,561.57,0.01,19.17,,,,,,,,,,,,,,,,,,,0,0,0
Electricity,Electricity,Wastewater Treatment,kWh,596089952,250487.55,5186340.24,601576209,255234.89,5234073.96,601624495,229086.92,5234494.08,635184232,212603.07,5526483.93,671530972,229428.62,5842722.37,670335363,207690.29,5832319.86,662115337,215595.9,5760800.7,654553637,195188.87,5695009.37,678057209.64,221489.04,5899504.56,685515357.98,218746.16,5964394.92,696267984.28,223486.76,6057949.22,698009906.38,195681,6073104.99,689069430.07,211881.73,5995317.48,708850342.46,205241.28,6167423.29,691501859.4,218157.21,6016481.08,690849428.4,233393.35,6010804.54,676540947.92,250116.17,5886312.17,668562585.78,247284.59,5816895.65,12.16,-1.28,12.16
Natural gas,Natural gas,Wastewater Treatment,GJ,380655.48,19150.19,378831.32,596868.92,30027.55,594008.63,774407.94,38959.27,770696.85,778898.15,39185.16,775165.54,602311.42,30301.36,599425.05,446668.51,22471.2,444528,374870.68,18859.17,373074.24,447182.43,22497.06,445039.46,595387.27,29953.01,592534.07,542723.62,27303.59,540122.8,628117.36,31599.62,625107.32,817960.52,41150.33,814040.72,612318.07,30804.78,609383.74,616963.11,31038.46,614006.52,608177.7,30596.48,605263.22,480739.9,24185.28,478436.12,512026.27,25759.25,509572.56,498366.16,25072.03,495977.91,30.92,30.92,30.92
Propane,Propane,Wastewater Treatment,liter,,,,,,,3094.2,4.61,75.19,,,,,,,,,,2191231.16,3267.27,53245.8,4216744.56,6287.44,102464.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Kerosene,Kerosene,Wastewater Treatment,liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Steam,Steam,Wastewater Treatment,kg,131092891.92,17458.55,414094.37,30248553.63,4179.38,95548.7,30125766.27,3988.35,95160.84,24769706.58,3538.17,78242.2,107776815.59,13226.84,340443.88,134658310.63,16540.09,425356.77,145165134.28,14933.62,458545.57,75569606.54,7935.95,238708.21,33993921.74,3765.09,107379.52,33906251.48,3633.02,107102.59,25301035.17,2506.17,79920.55,28141264.98,2595.24,88892.23,23054108.23,2434.35,72822.99,28437524.06,2897.37,89828.05,24753785.5,2070.44,78191.91,24459014.2,2056.67,77260.79,28512779.51,2703.74,90065.77,23958847.37,2067.58,75680.87,-81.72,-88.16,-81.72
CH4,Methane,Wastewater Treatment,MT,7067.82,197192.22,,9602.75,267916.81,,11521.93,321461.95,,11913.46,332385.63,,9966.59,278067.73,,9780.13,272865.51,,8383.38,233896.32,,7463.49,208231.26,,6265.9,174818.64,,5596.51,156142.61,,4818.51,134436.3,,3648.5,101793.17,,3961.61,110528.96,,5859.4,163477.34,,4770.4,133094.08,,1410.94,39365.29,,2461.09,68664.32,,1338.75,37351.01,,-81.06,-81.06,0
N2O,Nitrous oxide,Wastewater Treatment,MT,273.31,74613.1,,283.37,77360.83,,290.33,79259.58,,293.64,80163.87,,294.31,80346.96,,275.16,75117.38,,271.24,74049.23,,258.62,70604.43,,257.34,70254.14,,254.33,69431.49,,241.64,65968.41,,242.09,66089.93,,253.45,69191.39,,249.77,68188.23,,229.18,62566.55,,212.73,58076.39,,219.45,59911.07,,218.69,59701.79,,-19.98,-19.98,0
#1 fuel oil,Other,Water Supply,liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
#2 fuel oil,#2 fuel oil,Water Supply,liter,234386.14,637.36,8649.52,583667.79,1587.15,21539.02,882817.18,2400.61,32578.5,2284118.18,6211.12,84290.55,87082.58,236.8,3213.6,73102.82,198.79,2697.71,,,,,,,807568.54,2195.99,29801.61,882450.08,2399.61,32564.95,666770.91,1813.12,24605.77,720542.73,1959.34,26590.1,594559.35,1616.76,21940.95,646589.71,1758.25,23861.02,548424.2,1491.31,20238.43,735641.11,2000.4,27147.28,656099.15,1784.11,24211.95,631435.57,1717.04,23301.79,169.4,169.4,169.4
#4 fuel oil,#4 fuel oil,Water Supply,liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
#6 fuel oil,#6 fuel oil,Water Supply,liter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Biodiesel,Biodiesel,Water Supply,liter,,,,,,,,,,37029.41,0.06,1264.33,1905.32,,65.06,1033.98,,35.3,,,,,,,31019.68,0.05,1059.13,39971.32,0.07,1364.78,26084.18,0.05,890.62,28693.69,0.05,979.71,24187.44,0.04,825.85,24227.88,0.04,827.23,25127.91,0.04,857.96,34446.34,0.06,1176.13,29328.39,0.05,1001.39,26343.25,0.05,899.46,100,0,100
Electricity,Electricity,Water Supply,kWh,23253033,9771.34,202315.34,65428474,27759.79,569266.98,68332051,26019.52,594529.84,65573918,21948.3,570532.43,20447138,6985.77,177902.37,25168493,7797.96,218980.99,39373059,12820.53,342569.24,57248156,17071.49,498093.31,74285980.44,24265.7,646332.6,81208102.66,25913.29,706559.22,93558622.26,30030.27,814016.15,104273496.17,29232.17,907241.98,87654932.23,26952.99,762650.5,99959490.6,28942.38,869707.54,89561789.65,28255.24,779241.31,104954690.31,35457.4,913168.78,99277347.76,36702.69,863772.49,88818546.95,32851.76,772774.65,281.97,236.21,281.97
Natural gas,Natural gas,Water Supply,GJ,2921.07,146.95,2907.07,53778.74,2705.53,53521.02,68301.58,3436.15,67974.27,77147.72,3881.18,76778.01,2795.9,140.66,2782.5,6509.17,327.47,6477.98,20810.45,1046.94,20710.73,48304.47,2430.12,48072.99,86597.8,4356.6,86182.81,112025.06,5635.81,111488.22,159079.24,8003.03,158316.91,198104.16,9966.31,197154.81,246406.87,12396.35,245226.05,172192.08,8662.72,171366.9,171552.28,8630.53,170730.18,182719.16,9192.32,181843.54,186316.36,9373.29,185423.5,178937.19,9002.05,178079.69,6025.74,6025.93,6025.74
Kerosene,Kerosene,Water Supply,liter,,,,59964.71,161.32,2218.97,80158.34,215.64,2966.22,64859.8,174.49,2400.11,,,,,,,,,,,,,122921.68,330.69,4548.66,87844.27,236.32,3250.64,,,,,,,1496244.66,4025.22,55367.83,1449862.01,3900.44,53651.46,1413344.14,3802.2,52300.13,,,,,,,3936.83,10.59,145.68,100,100,100
Propane,Propane,Water Supply,liter,,,,4435817.96,6614.1,107788.12,4929665.49,7350.46,119788.36,5162907.59,7698.23,125456.03,,,,,,,,,,,,,4246950.29,6332.48,103198.73,4586204.1,6838.33,111442.43,4063887.95,6059.52,98750.41,4018075.91,5991.22,97637.2,2581723.36,3849.52,62734.56,2429817.31,3623.02,59043.32,2536094.5,3781.48,61625.81,3971838.77,5922.27,96513.66,3453568.13,5149.5,83919.95,3256179.91,4855.18,79123.52,100,100,100
Steam,Steam,Water Supply,kg,,,,1746329.2,241.29,5516.28,2007598.19,265.79,6341.57,1979510.4,282.76,6252.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
CH4,Methane,Solid Waste Facilities,MT,9968.7,278126.68,,9037.14,252136.33,,7876.97,219767.53,,7050.46,196707.75,,6530.49,182200.75,,5776.5,161164.41,,5207.36,145285.29,,4794.87,133776.9,,3253.7,90778.25,,2903.54,81008.85,,3180.15,88726.11,,3424.82,95552.62,,3093.44,86307.03,,2780.5,77575.87,,2532.16,70647.2,,3707.89,103450.01,,4645.28,129603.23,,5467.34,152538.9,,-45.15,-45.15,0
CH4,Organics,Solid Waste Facilities,MT,36787.16,7118.32,,26374.39,5103.44,,18717.19,3621.78,,20689.42,4003.4,,21730.67,4204.88,,20101.28,3889.6,,18731.65,3624.57,,20562.45,3978.83,,29206.99,5651.55,,36808.03,7122.35,,43783.02,8472.01,,57098.02,11048.47,,57096.95,11048.26,,68451.03,13245.27,,44652,8640.16,,39428.25,7629.37,,45432.03,8791.1,,51009.58,9870.35,,38.66,38.66,0
Other,Other,Fugitive and Process Emissions,kg,8722.3,13396.29,,8870.5,13623.03,,8143.8,12460.01,,7913.57,12107.76,,7949.99,12163.49,,7419.14,11351.28,,7553.68,11557.14,,8253.9,12628.47,,8194.4,12537.43,,8361.06,12792.42,,9168.89,14450.54,,9242.39,14562.99,,9242.39,14562.99,,9394.16,14807.99,,9332.1,14661.84,,9354.77,15668.94,,9565.65,16413.56,,9368.75,16288.26,,7.41,21.59,0
Total,Total,Total,Total,5000720584,3669863.62,58018314.99,5054852785.16,3780820.12,59229844.54,5118335832.37,3670800.52,59995917,5380763877.58,3556206.45,62199173.08,5125927265.14,3331513.97,58667968.98,5276417605.8,3230384.16,60089927.68,4989473226.16,2956853.74,55028551.86,4981292036.85,2980921.81,57797500.77,4992671724.8,3028496.67,58050797.83,5057546888.51,3029187.57,59363351.26,4851958621.29,2807234.69,55963360.94,4900662360.36,2618222.7,56098786.07,4861437877.93,2789781.59,56834604.6,4783456487.19,2769579.69,56966884.01,4384913774.44,2603306.37,52512682.96,4272854431.47,2612212.88,52213192.39,4454165997.22,2884650.49,54292337.16,4345625823.84,2719548.37,51535361.66,-13.1,-25.9,-11.17
